No;Customer;Suplier;CID ABH;CID Supplier;Type of Issue;ABH Ticket Number;Supplier Ticket Number;Status;Date/Start Time;Date/End Time;Duration;Timezone;On Duty;Root Cause;Action Taken;Chronology;Cordination To Customer;Cordination To Supplier;Status RFO Send;;;;;;
12;DCC - Huawei;ABH;;;Packet Loss;#20250000337;DCC04031826 ;Closed;4/4/2025 19:20;17/06/2025;;GMT+8;Luthfi;" 1. There is a packet loss when traffic reach 10G  
2. Packet loss occurred toward Smartfren destination. ";" 1. Adjust policy by XL Team to release the limitation config 
2. Reroute some of Smartfren's prefixes to direct PNI ";#20250000337 | DCC04031826 | DCC - Huawei (ABH) | Packet Loss | Huawei report mengalami packet loss periode 2025-04-04 19:20:56 GMT+08 dan memberikan traceroute/traceback ke destinasi 101.1.4.0 ABH dari source Zenla  | Sudah di open ticket ke Huawei | Dari hasil pengecekan suspect adanya asymetrical route yang mana turunnya via IIX dan naiknya via JKT-IX | Sudah di optimize oleh internal dan symetric via IIX | FU konfirmasi ke Huawei | terdapat packet loss pada Destinasi XL dan sudah di FU ke XL | hasil temuan XL terdapat limitasi (10G) | saat ini sudah di inactive limitasinya | Monitoring ketat | Huawei complain down ke prefix 101.4.0.1 dan meminta untuk di check | Dari hasil pengecekan bahwa tidak ada issue di Transmisi Edge<>PDG dan tidak ada adjustment dari tim | Sedang di make sure oleh tim dan saat ini service running di peer-2  | Sudah di infokan ke Huawei dan port peer-1 sudah di enable, Kondisi saat ini Peer-1 sudah kembali terisi traffic | Monitoring untuk kestabilannya | FU ke LN untuk issue packet loss dari NMS dan berikan updatenya ke DCC | Draft RFO sedang dipersiapkan | Validasi ke Internal | CLOSED;Email;Email;yes;;;;;;
13;NTTG;ABH ICON;202400250;1,11202E+11;Link Down;#20250000338;;Closed;;;;GMT+7;Fatoni;Link facing customer down;no action from vendor suspect electrical issue in customer side;#20250000338 | NTTG (ABH-ICON) | 202400250 | NTTG report mengalami down | dari hasil pengecekan tidak detect mac address dari sisi pelangan | sudah FU ke tim icon untuk pengecekan di sisi icon, parallel meminta status kelistrikan di sisi pelangan | dari icon info port facing pelangan down, perlu status di sisi pelangan | Confirm NTTG | termonitor up dan mac address sudah terdetek | FU konfirmasi dari customer | no confirm | CLOSED;Email;WhatsApp;No;;;;;;
14;ABH;SF;;;Request Check Prefix ;#20250000339;;Open;;;;GMT+7;Tian;;;;;;;;;;;;
15;ISPL;ABH-Lighstroom;"202400082-A
202400082-B";"LL CYB<>PDG 
24000410220201
 24000410220202";Link Down;#20250000340;;Closed;08/04/2025 11:10;08/04/2025 11:38;00:28:12;GMT+7;Haikal;Link down impact fo cut 3km ;Auto recovered to 2nd prot and back to main route;"7. #20250000340 | ISPL (Lighstroom) | Link Down | ""202400082-A & 202400082-B | ISPL report link down LL Cyb <> Pdg pada 2025-04-08 11:10:38 +0800 CST | Dari hasil pengecekan LS bahwa ada issue | ISPL confirm link up pada 2025-04-08 11:38:50 +0800 CST | FU RFO ke LS | RFO Available | Minta lebih detailnya | CLOSED";Email;Email;yes;;;;;;
16;ABH;ISPL;;;Req Check Prefix;#20250000341;;Open;;;;GMT+7;Haikal;;;;Email;Email;No;;;;;;
17;CTG-ALI;ABH;Proaktif (CID: 202300003);;Link Down;#20250000342;;Closed;08/04/2025 9:27;08/04/2025 14:11;04:44:00;GMT+7;Tian;Flapping link Trunk Switch to Router IIX;Replace SFP on port trunk;#20250000342 | CTG (IIX-ABH) | Proactive | Local loop DCI - APJII IIX | Issue pada IIX | RFO Available | Sudah disampaikan ke Cust | CLOSED;Email;Email;yes;;;;;;
18;CTG-ALI;ABH;202300003;;Link Down;#20250000343;;Closed;08/04/2025 9:27;08/04/2025 14:11;04:44:00;GMT+7;Tian;Flapping link Trunk Switch to Router IIX;Replace SFP on port trunk;#20250000342 | CTG (IIX-ABH) | Local loop DCI - APJII IIX | Issue pada IIX | RFO Available | Sudah disampaikan ke Cust | CLOSED;Email;Email;yes;;;;;;
19;ABH;Powertel;NEU<>CYB;;Flapping;#20250000344;;Closed;08/04/2025 18:53;08/04/2025 21:27;02:34:00;GMT+7;Tian;Issue impact activity vendor;Resplicing Core; #20250000344 | ABH (Powertel) | NEU<>CYB | Multiple Flapping pada periode 18.53 sd 21:27 GMT+7 | info dari powertel ada aktivitas disisi mereka | FU RFO ke Powertel | RFO Available | Issue : imbas perbaikan tim lapangan | Action : Resplicing Core | Sudah kembali stabil selama 8 jam | CLOSED;Email;Email;yes;;;;;;
20;CTID - YUTO;ABH -IIX;202400153 |  idEX-DIA;;Maintenance;#20250000345; [Urgent Maintenance] ;Open;16/04/2025 23:00;17/04/2025 3:00;04:00:00;GMT+7;Tian;Replace Switch Distribusi PoP Cyber APJII;Replace Switch Distribusi PoP Cyber APJII;Down Time  :  -/+ 2 jam dalam rentang waktu tersebut ;Email;Email;No;;;;;;
21;SEABANK;ABH;22021-A ;;Packet Loss;#20250000346;;Closed;;;;GMT+7;Syahrul;;; #20250000346 | Shopee (ABH) | 22021-A  | Packet Loss | Shopee report mengalami packet loss pada destination 43.152.164.0 | hasil pengecekan melalui looking glass local ditemukan bahwa memang terjadi di issue destinasi evidence sudah diberikan | FU Konfirmasi Shopee | sudah dijelaskan pada jam yang shoppee mention memang terjadi flap dan issue pada sisi IIX | CLOSED;Email;Email;No;;;;;;
22;DCC;ABH;L1 DWDM No service order;;Flapping;#20250000347;;Closed;09/04/2025 14:57;09/04/2025 15:05;00:08:00;GMT+7;Tian;No issue in ABH and Vendor segment;No action has been taken;#20250000347 | DCC (ABH) | L1 DWDM NO SERVICE ORDER | DCC Report flapping Neu<>CYB pada 09/04/2025 14:57 - 15:05 | info dari HSP tidak ada activity | sudah dijelaskan ke DCC disisi suplier tidak ada activity | Monitoring | Link sudah stabil selama 5 jam | CLOSED;WhatsApp;WhatsApp;No;;;;;;
23;Baoshuo;CrossNet;BTIIG-Morowali;;Link Down;#20250000348;;Closed;10/04/2025 10:33;10/04/2025 10:43;00:10:00;GMT+7;Syahrul;Link upstream utama crossnet down;reroute ke backup link ldm;7. #20250000348 | Baoshuo (CrossNet) | BTIIG-Morowali IdEX-DIA | Link Down | Dalam monitoring terpantau link drop pada 10:33 WIB | Fu hasil pengecekan CN | Informasi dari Crossnet upstream utamanya down | Link sudah up kembali after reroute ke backup link (ldm) | saat ini sudah kembali ke main link | RFO Available | Monitoring beberapa jam setelahnya kirim RFO | Kirim RFO Official besok jam OH | CLOSED;WhatsApp;WhatsApp;yes;;;;;;
24;DCC-Huawei;ABH-ISPL;240404-OTTP-ABH_25G>90G-EDG-DC;240404-OTTP-ABH_25G>90G-EDG-DC;Maintenance;#20250000349;#2025-0040067;Rescheduled;11/04/2025 0:00;11/04/2025 5:00;05:00:00;GMT+7;Luthfi;Troubleshoot Clean Up RSP Standby Slot on JKT-KPI-OTT-ASR9006;Troubleshoot Clean Up RSP Standby Slot on JKT-KPI-OTT-ASR9006;Only impact on IOH routes via direct peer Impact downtime of 150 minutes for IOH routes;Email;Email;No;;;;;;
25;ABH;IDC3D;Req Inbound Access;;Request Permit Access;#20250000350;;Open;;;;;Haikal;QFX5200-32C-AFO2;WH0221400025;;Email;Email;No;;;;;;
26;Wangsu;DCC;202400109;ABH202406110001;High Latency;#20250000351;;Closed;13/04/2025 14:45;13/04/2025 15:10;00:25:00;GMT+8;Haikal;No issue in ABH and Vendor segment;No action has been taken;6. #20250000351 | Wangsu (DCC) | High Latency | 202400109 | wangsu report mengalami high latency pada 13/04/2025 14:45 - 15:10 GMT+8 | Dari hasil pengecekan DCC bahwa tidak ditemukannya issue pada range time waktu yang di berikan | Confirm ke wangsu | konfirm dari wangsu sudah normal dan tiket boleh diclosed | CLOSED;Email;Email;No;;;;;;
27;ABH;IDC3D;;;Request Permit Access;#20250000352;;Open;14/04/2025;31/04/2025;;GMT+7;Syahrul;Req Permit Access;Req Permit Access;Req Permit Access;Email;Email;No;;;;;;
28;ABH;ISPL;;;Request Check Prefix ;#20250000353;;Closed;14/04/2025 8:45;14/04/2025 10:36;;GMT+8;Haikal;Packet Loss;Normal by it self;#20250000353 | Seabank (ABH) | AB21005 | Packet Loss | Sea menginformasikan bahwa mengalami packet loss dari BKE DCI <> ABH pada 14 Apr 2025 08:45 - 10:36 GMT+8 | Open ticket | FU pengecekan Indonet | Dari hasil pengecekan Indonet link normal | sudah diupdate ke cust terkait hasil pengecekannya | FU Pengecekan Indonet | Dari hasil pengecekan Indonet bahwa tidak ada issue pada Locall-loop DCI<>Cyber | Sudah disampaikan ke SEA | SEA meminta untuk memonitoring dahulu | CLOSED;;;;;;;;;
29;ABH;LN;;;Packet Loss;#20250000354;10945808;Open;;;;;Haikal;;;;;;;;;;;;
30;ABH;XL;;;Packet Loss;#20250000355;;Open;;;;;Haikal;;;;;;;;;;;;
31;Running River;ABH-CGS;202500054;EDMKABH202503048P;Link Down;#20250000356;NOCCENTRAL/2025/04/00073;Closed;14/04/2025 11:20;14/04/2025 21:34;10:14:00;GMT+7;Haikal;Fiber Optic Cable Cut by a Large Truck ;Fiber Optic cable re-pulling and core splicing;#20250000356 | Running River (ABH-CGS) | Link Down | 202500054 | Dalam monitoring bahwa terlihat traffic RR mengalami drop pada 14/04/2025 11:20 | Update dari CGS bahwa port facing customer down dan mac tidak detect | Update dari CGS bahwa mereka menemukan titik cut nya | CGS melakukan resplicing | Link kembali Up pada 14/04/2025 21:34 | FU RFO ke CGS | RFO Available | CLOSED;Email;Email;yes;;;;;;
32;Aofei;ABH;"202400051
RR2-RD2/180124 RBN-CN";10742-OWS-ABH-SIN IPT;Destiantion Unreachable;#20250000357;;Closed;15/04/2025 5:00;;;GMT+7;Luthfi;No issue in ABH segment the issue in destination;Checking circuit log and monitoring;#20250000357 | AOFEI (ABH) | Tencent_ISC | RR2-RD2/180124 RBN-CN | Dari compare ping global juga tidak bisa diping ke ip destination (H3I) yang dimention oleh Aofei | FU konfirmasi ke AOFEI untuk close ticket | CLOSED;Email;Email;yes;;;;;;
33;IDCH;ABH;AB21009;VLAN2502;Maintenance;#20250000358;;Rescheduled;15/04/2025 14:00;15/04/2025 16:00;02:00:00;GMT+7;Luthfi; Relocation link Bacbone NEU <> IDC3D; Relocation link Bacbone NEU <> IDC3D;No Downtime, cause link will be auto rerouted via another link ;Email;Email;No;;;;;;
34;DCC-Huawei;ABH-ISPL;240404-OTTP-ABH_25G>90G-EDG-DC;240404-OTTP-ABH_25G>90G-EDG-DC;Maintenance;#20250000359;#2025-0040115;Open;17/04/2025 0:00;17/04/2025 5:00;05:00:00;GMT+7;Luthfi;Replace chassis JKT-KPI-OTT-ASR9006;Replace chassis JKT-KPI-OTT-ASR9006;Only impact on IOH routes via direct peer Impact downtime of 150 minutes for IOH routes;Email;Email;No;;;;;;
35;DCC-Huawei;ABH;;;Link Down;#20250000360;DCC04151650;Closed;15/04/2025 13:00;;;GMT+8;Luthfi;;;6. #20250000360 | DCC-Huawei (ABH) | Link Down | DCC report bahwa mengalami problem pada link Huawei down ke prefix 101.4.0.1 | Dalam pengecekan bahwa BGP facing DCC VLAN1725 sempat reset | Dapat dipastikan bahwa juga tidak ada issue pada BB | Dari hasil pengecekan bahwa tidak ada issue di Transmisi Edge<>PDG dan tidak ada adjustment dari tim | Sedang di make sure oleh tim dan saat ini service running di Line-2 | IR sudah dikirmkan ke DCC | Maintenance completed tgl 17/04/2025 | Sudah di infokan ke Huawei dan port peer-1 sudah di enable, Kondisi saat ini Peer-1 sudah kembali terisi traffic | Monitoring untuk kestabilannya | CLOSED;;;;;;;;;
36;IOH;ABH-DWS;202500067;1773218210;Link Down;#20250000361;;Closed;15/04/2025 10:59;15/04/2025 15:20;04:21:00;GMT+7;Haikal;gangguan interface port ont down setelah DyingGasp  ;dilakukan shut noshut interface;CLOSED;Email;Email;yes;;;;;;
37;Aofei;ABH;202400045 - IdEX-hybrid;;Maintenance;#20250000362;Completed;Closed;17/04/2025 0:00;17/04/2025 6:00;06:00:00;GMT+7;Tian;Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Logical connection down for a maximum of 60 minutes;Email;Email;No;;;;;;
38;Aofei;ABH;202400286 - IdEX-hybrid;;Maintenance;#20250000363;Completed;Closed;17/04/2025 0:00;17/04/2025 6:00;06:00:00;GMT+7;Tian;Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Logical connection down for a maximum of 60 minutes;Email;Email;No;;;;;;
39;DCC-Wangsu Neu;ABH;202300045 - IdEX-CAC;;Maintenance;#20250000364;Completed;Closed;17/04/2025 0:00;17/04/2025 6:00;06:00:00;GMT+7;Tian;Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Logical connection down for a maximum of 60 minutes;Email;Email;No;;;;;;
40;DCC-Wangu Nex-2;ABH;202400221 - IdEX-CAC;;Maintenance;#20250000365;Completed;Closed;17/04/2025 0:00;17/04/2025 6:00;06:00:00;GMT+7;Tian;Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Logical connection down for a maximum of 60 minutes;Email;Email;No;;;;;;
41;DCC-Huawei;ABH;202500080/Non Telkom+International for Huawei-NTT-JK3;;Maintenance;#20250000366;Completed;Closed;17/04/2025 0:00;17/04/2025 6:00;06:00:00;GMT+7;Tian;Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Logical connection down for a maximum of 60 minutes;Email;Email;No;;;;;;
42;Baishan;ABH;"VLAN793
VLAN794
VLAN";;Maintenance;#20250000367;Completed;Closed;17/04/2025 0:00;17/04/2025 6:00;06:00:00;GMT+7;Tian;Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Logical connection down for a maximum of 60 minutes;Email;Email;No;;;;;;
43;3GO;ABH;202400097;;Maintenance;#20250000368;Completed;Closed;17/04/2025 0:00;17/04/2025 6:00;06:00:00;GMT+7;Tian;Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Logical connection down for a maximum of 60 minutes;Email;Email;No;;;;;;
44;HK-Seaga;ABH;202400071 - idEX-hybrid;;Maintenance;#20250000369;Completed;Closed;17/04/2025 0:00;17/04/2025 6:00;06:00:00;GMT+7;Tian;Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Logical connection down for a maximum of 60 minutes;Email;Email;No;;;;;;
45;OWS;ABH;VLAN4062 - idEX-hybrid;;Maintenance;#20250000370;Completed;Closed;17/04/2025 0:00;17/04/2025 6:00;06:00:00;GMT+7;Tian;Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Logical connection down for a maximum of 60 minutes;Email;Email;No;;;;;;
46;CTG-ALI;ABH;202300003 - IdEX-transport;;Maintenance;#20250000371;Completed;Closed;17/04/2025 0:00;17/04/2025 6:00;06:00:00;GMT+7;Tian;Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Logical connection down for a maximum of 60 minutes;Email;Email;No;;;;;;
47;Bizner GIO;ABH;AB23033 - IdEX-CAC;;Maintenance;#20250000372;Completed;Closed;17/04/2025 0:00;17/04/2025 6:00;06:00:00;GMT+7;Tian;Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Logical connection down for a maximum of 60 minutes;Email;Email;No;;;;;;
48;MPLS;ABH;AB23030 - IdEX-CAC;;Maintenance;#20250000373;Completed;Closed;17/04/2025 0:00;17/04/2025 6:00;06:00:00;GMT+7;Tian;Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Logical connection down for a maximum of 60 minutes;Email;Email;No;;;;;;
49;Jupiter;ABH;AB23028 - idEX-CAC;;Maintenance;#20250000374;Completed;Closed;17/04/2025 0:00;17/04/2025 6:00;06:00:00;GMT+7;Tian;Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Logical connection down for a maximum of 60 minutes;Email;Email;No;;;;;;
50;WPT;ABH;"vlan2527
202400078 - IdEX-CAC";;Maintenance;#20250000375;Completed;Closed;17/04/2025 0:00;17/04/2025 6:00;06:00:00;GMT+7;Tian;Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Logical connection down for a maximum of 60 minutes;Email;Email;No;;;;;;
51;LAXO;ABH;202300032 - IdEX-CAC;;Maintenance;#20250000376;Completed;Closed;17/04/2025 0:00;17/04/2025 6:00;06:00:00;GMT+7;Tian;Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Logical connection down for a maximum of 60 minutes;Email;Email;No;;;;;;
52;Cloudhost;ABH;AB21009 - idEX-transport;;Maintenance;#20250000377;Completed;Closed;17/04/2025 0:00;17/04/2025 6:00;06:00:00;GMT+7;Tian;Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Logical connection down for a maximum of 60 minutes;Email;Email;No;;;;;;
53;Shopee;ABH;"202400081
AB22021-A (Line-1)
AB22021-B (Line-2)";;Maintenance;#20250000378;Completed;Closed;17/04/2025 0:00;17/04/2025 6:00;06:00:00;GMT+7;Tian;Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Logical connection down for a maximum of 60 minutes;Email;Email;No;;;;;;
54;Seabank;ABH;"AB21005 - idEX CAC
AB21015 - idEX CAC";;Maintenance;#20250000379;Completed;Closed;17/04/2025 0:00;17/04/2025 6:00;06:00:00;GMT+7;Tian;Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Logical connection down for a maximum of 60 minutes;Email;Email;No;;;;;;
55;Linkcloud;ABH;202400094;;Maintenance;#20250000380;Completed;Closed;17/04/2025 0:00;17/04/2025 6:00;06:00:00;GMT+7;Tian;Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Logical connection down for a maximum of 60 minutes;Email;Email;No;;;;;;
56;GTT;ABH;AB22007;;Maintenance;#20250000381;Completed;Closed;17/04/2025 0:00;17/04/2025 6:00;06:00:00;GMT+7;Tian;Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Logical connection down for a maximum of 60 minutes;Email;Email;No;;;;;;
57;"NTTG-CAMPINA
NTTG-PHC";ABH;"202400152
202400250";;Maintenance;#20250000382;Completed;Closed;17/04/2025 0:00;17/04/2025 6:00;06:00:00;GMT+7;Tian;Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Logical connection down for a maximum of 60 minutes;Email;Email;No;;;;;;
58;CBC;ABH;202400143;;Maintenance;#20250000383;Completed;Closed;17/04/2025 0:00;17/04/2025 6:00;06:00:00;GMT+7;Tian;Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Urgent corrective maintenance is being carried out to resolve an incident where the distribution switch at Cyber1 experienced issues due to full PFE resources (MAC table full);Logical connection down for a maximum of 60 minutes;Email;Email;No;;;;;;
