No;Customer;Suplier;CID ABH;CID Supplier;Type of Issue;ABH Ticket Number;Supplier Ticket Number;Status;Date/Start Time;Date/End Time;Duration;Timezone;On Duty;Root Cause;Action Taken;Chronology;Cordination To Customer;Cordination To Supplier;Status RFO Send;;;;;;
11;OWS-ABH;ISPL-IOH;"AS138077
36.50.46.0/24
36.50.47.0/24
160.250.198.0/24
160.250.199.0/24";240404-OTTP-ABH_25G>90G-EDG-DC (VLAN790 & VLAN791);Req. Allow & Adv. Prefix;#20250000570;;Closed;03/06/2025;;;GMT+7;Haikal;;Request Done;#20250000570 | OWS-ABH (ISPL-IOH) | OWS meminta prefix under AS138077 | Sudah di req ke ISPL | FU | Done;Email;Email;No;;;;;;
12;OWS-ABH;Moratel;"AS138077
36.50.46.0/24
36.50.47.0/24
160.250.198.0/24
160.250.199.0/24";2957012100081987;Req. Allow & Adv. Prefix;#20250000571;;Closed;03/06/2025;;;GMT+7;Haikal;;Request Done;#20250000571 | OWS-ABH (Moratel) | OWS meminta prefix under AS138077 | Sudah di req ke MTI | Done;Email;Email;No;;;;;;
13;OWS-ABH;XL;"AS138077
36.50.46.0/24
36.50.47.0/24
160.250.198.0/24
160.250.199.0/24";;;#20250000572;;Closed;03/06/2025;;;GMT+7;Haikal;;Request Done;;Email;Email;No;;;;;;
14;DCC-Huawei;ABH;Cyber side;;Maintenance;#20250000573;;Closed;16/06/2025 10:00;16/06/2025 13:00;03:00:00;GMT+7;Haikal;Phase Two – Huawei Link Migration to MX204 at Cyber Site ;Phase Two – Huawei Link Migration to MX204 at Cyber Site ;"Downtime 120 Minutes
#20250000573 | DCC-Huawei (ABH) | 16/06/2025 10:00 - 16/06/2025 13:00 | Phase Two – Huawei Link Migration to MX204 at Cyber Site | Has Announce | COMPLETED";Email;Email;No;;;;;;
15;ABH;DCC;103.137.169.0/24;;Req. Allow & Adv. Prefix;#20250000574;;Closed;;;;;Haikal;;; #20250000574 | ABH (DCC) | ABH req untuk prefix 103.137.169.0/24 agar di advertised ke internet | Saat ini sudah di proses oleh DCC | Sebelum officially advertised ke DCC, di info dahulu ke mereka | ABH sudah officially adv ke DCC untuk prefix 103.137.169.0/24 under AS139057 | CLOSED;;;;;;;;;
16;DCC-Huawei;ABH-ISPL;202500080;240404-OTTP-ABH_25G>90G-EDG-DC;Maintenance;#20250000575;#2025-0050343;Open;12/06/2025 0:00;12/06/2025 4:00;04:00:00;GMT+7;Luthfi;Troubleshoot Linecard NODE PE KPPTI;Troubleshoot Linecard NODE PE KPPTI;No downtime | For 120 minutes, there will be route updates only for IOH and H3I prefixes via direct peering, but the routes will be backed up through IOH and H3I via internet exchanges.;Email;Email;No;;;;;;
17;ABH;MDC;Permit and inbound Access;Rack B07;Request Permit Access;#20250000576;;Open;05/06/2025 9:00;10/06/2025 23:59;14:59:00;GMT+7;Luthfi;;;;Email;Email;No;;;;;;
18;CBC;ABH;202400143 (Link-2 | VLAN 877 | 10.100.246.38/30);;Maintenance;#20250000577;;Open;11/06/2025 10:00;11/06/2025 12:00;02:00:00;GMT+7;Luthfi;Preventive maintenance for migrating the second link of the CBC service to a different router in the different DC at Edge1;Traffic will automatically switch over to Link-1 (VLAN 876 | 10.100.246.34/30) during the activity;Maximum downtime of 60 minutes for Link-2;Email;Email;No;;;;;;
19;DCC-Huawei;ABH;;202500080-idEX-hybrid;Network Freeze;#20250000578;Has Announced;Open;05/06/2025 0:00;11/06/2025 23:59:00;23:59:00;GMT+7;Luthfi;"To ensure service stability, we kindly request your team to implement enhanced monitoring for this circuit during the mentioned period.
Please refrain from performing any maintenance or changes that could potentially impact the service.
In case of any risks or faults, please notify us proactively or as soon as they are detected.";"""To ensure service stability, we kindly request your team to implement enhanced monitoring for this circuit during the mentioned period.
Please refrain from performing any maintenance or changes that could potentially impact the service.
In case of any risks or faults, please notify us proactively or as soon as they are detected.""";Period of June 5–11, 2025;Email;Email;No;;;;;;
20;ABH;ISPL;;240404-OTTP-ABH_25G>90G-EDG-DC;Network Freeze;#20250000579;#2025-0060025;Open;05/06/2025 0:00;11/06/2025 23:59:00;23:59:00;GMT+7;Luthfi;"To ensure service stability, we kindly request your team to implement enhanced monitoring for this circuit during the mentioned period.
Please refrain from performing any maintenance or changes that could potentially impact the service.
In case of any risks or faults, please notify us proactively or as soon as they are detected.";"""To ensure service stability, we kindly request your team to implement enhanced monitoring for this circuit during the mentioned period.
Please refrain from performing any maintenance or changes that could potentially impact the service.
In case of any risks or faults, please notify us proactively or as soon as they are detected.""";Period of June 5–11, 2025;Email;Email;No;;;;;;
21;ABH;XL;Peer: 112.215.23.122/30;;Network Freeze;#20250000580;N25060400618;Open;05/06/2025 0:00;11/06/2025 23:59:00;23:59:00;GMT+7;Luthfi;"""To ensure service stability, we kindly request your team to implement enhanced monitoring for this circuit during the mentioned period.
Please refrain from performing any maintenance or changes that could potentially impact the service.
In case of any risks or faults, please notify us proactively or as soon as they are detected.""";"""To ensure service stability, we kindly request your team to implement enhanced monitoring for this circuit during the mentioned period.
Please refrain from performing any maintenance or changes that could potentially impact the service.
In case of any risks or faults, please notify us proactively or as soon as they are detected.""";Period of June 5–11, 2025;Email;Email;No;;;;;;
22;Aofei;ABH;"202500007
RR2-RD2/180124 RBN-CN";;Destination Unreachable;#20250000581;;Closed;04/05/2025 18:54:00;04/05/2025 19:15:00;00:21:00;GMT+7;Haikal;Route table was reset and suspected an issue with the destination.;No action has been taken from our side.;#20250000581 | Aofei (ABH) | Dest Unreachable | 202500007 - RR2-RD2/180124 RBN-CN | Aofei report dest unreach untuk ke beberapa dest 103.108.26.0/24 (H3I) | Berdasarkan pengecekan ke IP tsb sempat reset | Pengecekan OWS sudah reach dan tidak ada action | Sedang di confirm ke Aofei | FU konfirmasi ke Aofei untuk close ticket | CLOSED;Email;Email;yes;;;;;;
23;Baoshuo;CrossNet;BTIIG-Morowali;;Intermittent;#20250000582;;Closed;04/06/2025 18:21:00;04/06/2025 18:39:00;00:18:00;GMT+7;Haikal;"There was a down voltage in PLN which resulted in a broken 
MCB in TS Bahomahoni. ";"1. Checking the at the site 
2. Make repairs to the main PLN MCB. ";"#20250000582 | Baoshuo (CrossNet) | Intermittent | BTIIG-Morowali | Baoshuo report bahwa sempat mengakami disconnect pada 04/06/2025 18:21 WIB dan sudah kembali normal pada 18:38 WIB | Dari hasil pengecekan ke CN bahwa mereka sempat detect FO ke arah TS bahomahoni intermitten dikarenakan  ada masalah electrical di TS bahomahoni | Update dari CN bahwa mereka ingin instalasi perangkat UPS di TS Bahomani | Keep update | FU RFO | RFO available | Draft IR lalu validasi ke internal | CLOSED
";Email;Email;yes;;;;;;
24;ABH;IDC3D;;Rack AU135;Request Permit Access;#20250000583;;Open;05/06/2025 9:00;10/06/2025 23:59;14:59:00;GMT+7;Luthfi;;;;Email;Email;No;;;;;;
25;OWS;ABH-ISPL;AB22025 – Multiple Services;VLAN766;Destination Unreachable;#20250000584;;Closed;05/06/2025 13:22:00;05/06/2025 13:37:00;00:15:00;GMT+7;Luthfi;"After a thorough check with the network team, we did not find any 
issue within the internal network segment. However, at that time, 
there was a flap on the upstream provider’s internal backbone 
between Jakarta and Singapore. This caused a route reset of the 
prefixes on their router.";Optimize the JKT-Singapore backbone.;#20250000584 | OWS (ABH-ISPL) | Destination Unreachable | AB22025 – Multiple Services | OWS report bahwa semua prefixnya di JKT inaccessible dan meminta untuk di check | Sudah di open ticket ke ISPL | Terlihat Outbound Vlan 766 ISPL mengalami penurunan pada periode yang sama | Update dari ISPL suspect impact dari Flappingnya backbone JKT<>SG | Saat ini sedang di make sure untuk spesific issuenya | RFO Available | FU validasi RFO ke internal | CLOSED;Email;Email;yes;;;;;;
26;Aofei;ABH;"202500007
RR2-RD2/180124 RBN-CN";;Packet Loss;#20250000585;;Closed;05/06/2025 18:35:00;05/06/2025 18:48:00;00:13:00;GMT+7;Luthfi;"The packet loss was caused by congestion on the upstream path 
after the primary upstream experienced an outage. ";"Optimized the network by redistributing traffic to alternative 
upstream links to prevent a recurrence of this issue. ";#20250000585 | Aofei (ABH) | 202500007 - RR2-RD2/180124 RBN-CN | Aofei report paket loss dari Source IP:  43.174.0.113 ke Destination IP:  103.130.19.77 pada 2025-06-05 19:42 GMT+8 |  Dari hasil pengecekan route via OIXP dan terdapat congest di OIXP pada waktu yang di mention oleh Aofei | sudah di sampaikan ke Aofei | FU konfirmasi Aofei | Prepare IR dan validasi internal | CLOSED;Email;Email;yes;;;;;;
27;Baoshuo;CrossNet;BTIIG-Morowali;;Link Down;#20250000586;;Open;08/06/2025 9:30:00;;;GMT+7;Tian;There was a PLN electricity outage in the TS bahomahoni area.;"The power source was switched from PLN to a generator and 
then reverted back after PLN power was restored.";#20250000586 | Baoshuo (CN) | BTIIG0Morowali | Link Down | Baoshuo report link down dan mengeluhkan link buruk akhir - akhir ini | Info dari CN ada pemadaman listrik pada TS Bahomohoni pada pukul 08/06/2025 09:30 sampai 10:15 GMT+7 (backup menggunakan genset) | lalu terpantau down kembali pukul 12.10 dan up kembali 12.35 | FU RFO CN | RFO Available | FU Validasi internal > CLOSED;WhatsApp;WhatsApp;yes;;;;;;
28;Shopee;ABH;"202400081
AB22021-A (Line-1)";;Packet Loss;#20250000587;;Closed;08/06/2025 4:20:00;08/06/2025 10:44:00;06:24:00;GMT+7;Haikal;No issue segment ABH;Checking circuit dan monitoring;#20250000587 | Shopee (ABH) | Packet Loss | 202400081 AB22021-A (Line-1) | Shopee report packet loss pada 2025-06-09 04:20 GMT+8 dari S: 147.136.162.0/24 D: 103.193.147.16 | Destinasi di dapat dari IIX | Berdasarkan traceroute nya loss detect pada hop 7 (123.108.8.123) berdasarkan pengecekan pada device prefix tersebut mengarah pada Telkom CAC | Saat ini sedang dilakukan pengecekan ke Telkom | dari pengecekan Telkom ke IP 123.108.8.123 tidak bisa diping dan traceroute, kemungkinan icmp atau firewall di sisi tujuan dan tujuan ip tersebut managed by IDNIC (IIX) | Dari traceoute ke arah Destination (103.193.147.16) unreach di hop terakhir yang mana itu adalah segment Indosat | Dari pengecekan IP destinasi tidak aktif dan dari traceroute yang diberikan oleh Shopee tidak melalui segment ABH | sudah disampaikan temuan tersebut ke Shopee ;Email;Email;No;;;;;;
29;ABH;C2IX;Req Allow Mac Address ABH;Req Allow Mac Address ABH;Req. Allow & Adv. Prefix;#20250000588;;Open;;;;GMT+7;Tian;;;;Email;Email;;;;;;;
30;ABH;MDC;Req Permit;Req Permit;Req. Allow & Adv. Prefix;#20250000589;;Open;09/06/2025 15:00:00;16/06/2025 23:59:00;;GMT+7;Tian;;;;;;;;;;;;
31;OWS;ABH-ISPL;AB22025;240404-OTTP-ABH_25G>90G-EDG-DC;Maintenance;#20250000590;#2025-0060071;Open;"Day 1 : 18/06/2025 22:00
Day 2 : 19/06/2025 22:00";"Day 1 : 19/06/2025 04:00
Day 2 : 20/06/2025 04:00";;GMT+7;Bayu;Upgrade version Activation for NE9000-20 JKT-ANC-CN1-H9K20 Day 1 & Day 2;Upgrade version Activation for NE9000-20 JKT-ANC-CN1-H9K20 Day 1 & Day 2;No downtime and auto switch over to Domestic Exchange (IIX, OIXP);Email;Email;No;;;;;;
32;Baoshuo;CrossNet;BTIIG-Morowali;;Link Down;#20250000591;;Closed;09/06/2025 16:25:00;09/06/2025 22:05:00;05:40:00;GMT+7;Bayu;FO cut pada KM 8 dari Bahomohon;" FO CUT KM 8 from TS Bahomahoni impact dari kabel tertabrak 
mobil";#20250000591 | Baoshuo (CrossNet) | BTIIG-Morowali | Link Down | Baoshuo terpantau down pada 09/06/2025 16:25 WIB | FU pengecekan CN | dari hasil OTDR terdapat FO cut pada KM 8 dari Bahomohoni | FU perbaikan CN | terpantau link up kembali pada 22:05 WIB | FU RFO CN | RFO Available | Preventif akan dilakukan malam ini CLOSED;WhatsApp;WhatsApp;yes;;;;;;
33;DCC-Huawei;ABH-ISPL;202500080;240404-OTTP-ABH_25G>90G-EDG-DC;Maintenance;#20250000592;#2025-0060071;Open;"Day 1 : 18/06/2025 22:00
Day 2 : 19/06/2025 22:00";"Day 1 : 19/06/2025 04:00
Day 2 : 20/06/2025 04:00";;GMT+7;Bayu;Upgrade version Activation for NE9000-20 JKT-ANC-CN1-H9K20 Day 1 & Day 2;Upgrade version Activation for NE9000-20 JKT-ANC-CN1-H9K20 Day 1 & Day 2;No downtime | For 120 minutes, there will be route updates only for IOH and H3I prefixes via direct peering, but the routes will be backed up through IOH and H3I via internet exchanges.;Email;Email;No;;;;;;
34;NTTG-Pasar Rebo;Icon+;202500050;1,11401E+11;Link Down;#20250000593;;Closed;09/06/2025 19:00:00;10/06/2025 10:25:00;15:25:00;GMT+7;Adit;" Based on confirmation from ICON, there was a fiber optic (FO) cut 
on their POP segment. This caused the tunnel between the Jakarta 
distribution router and the CPE at the site to go down.";"1. ICON team resolved the fiber cut.
2. At 5 PM ABH team went onsite to reconnect the link to the 
MikroTik after the customer temporarily bypassed the link around 
10:30 AM.";#20250000593 | NTT-Campina-Pasar Rebo (Icon-ABH) | Link Down |  202500050 | NTT report link down pada 9/06/2025 20:02 GMT+7 | link down sejak 9/06/2025 19:00 GMT+7 | pengecekan dari Icon tidak ada issue sisi mereka dan port facing customer terpantau up | dari pengecekan sisi ABH tunnel JKT<>Campina juga up namun Mikrotik dilokasi tidak dapat diping dan diremote | kondisi saat ini customer melakukan bypass dari modem icon ke SDWAN mereka dan sudah bisa kembali | Koordinasi dengan tim FE untuk pengecekan kelokasi jam 5 sore nanti | Saat ini FE sedang melakukan pengecekan | Issue sudah di solved after clear ACD protocol di PE-DIA | Interim RFO sudah disampaikan ke NTTG | Prepared IR | Sudah di draft | CLOSED;Email;Email;yes;;;;;;
35;Baoshuo;CrossNet;BTIIG-Morowali;;Maintenance;#20250000594;;Open;10/06/2025 23:00:00;10/06/2025 0:00:00;###############################################################################################################################################################################################################################################################;GMT+8;Tian;Restoration Maintenance from Temporary link to Primary Link;Restoration Maintenance from Temporary link to Primary Link;Downtime 60 minutes;Email;Email;No;;;;;;
36;Aofei;ABH;202500020;;Maintenance;#20250000595;;Open;16/06/2025 9:00:00;16/06/2025 11:00:00;02:00:00;GMT+7;Tian;"Preventive maintenance for migrating the interconnection of the 
Indigo line at Cyber1.
";"Preventive maintenance for migrating the interconnection of the 
Indigo line at Cyber1.
";"Downtime 60 minutes

#20250000595 | Aofei (ABH) | Preventive maintenance for migrating the interconnection of the Indigo line at Cyber1 June 16th, 2025 09:00 - 11:00 | Has Announced | COMPLETED";Email;Email;No;;;;;;
37;Yuto;Fibernet;202400153;IN18B056;Link Down;#20250000596;;Closed;10/06/2025 16:52:00;10/06/2025 11:30:00;###############################################################################################################################################################################################################################################################;GMT+7;Luthfi;No issue our segment;Checking circuit dan monitoring;#20250000596 | CTID-Yuto (Fibernet) | Link Down | 202400153 | CTID report bahwa service mengalami down dan meminta untuk di check | Sudah di open ticket ke CTID | Dari hasil pemantauan traffic bahwa traffic running | Sedang di tanyakan periode downtime dan status service saat ini ke CTID | Dari hasil pengecekan fibernet bahwa secara koneksi radio dan strength sinyal terpantau normal dan sempat ada log device rebooted disisi client | Sudah disampaikan ke CTG | FU konfirmasi status ke CTID | CLOSED;Email;Email;yes;;;;;;
38;Baoshuo;CrossNet;BTIIG-Morowali;;Maintenance;#20250000597;;Closed;11/06/2025 23:00:00;11/06/2025 0:00:00;###############################################################################################################################################################################################################################################################;GMT+8;Tian;BTIIG link will be moved from temporary via TS Bahomohoni to via TS Matano;BTIIG link will be moved from temporary via TS Bahomohoni to via TS Matano;Downtime 60 minutes;Email;Email;No;;;;;;
39;PHC;ABH - ICON;202400250;;Pro-Active Traffic observed at Full Capacity;#20250000598;;Open;;;;GMT+7;Tian;;;;;;;;;;;;
40;Baishan;ABH;"202500132 (vlan902) / International IPT at Edge2
";;Maintenance;#20250000599;;Closed;11/06/2025 13:00:00;11/06/2025 14:00:00;01:00:00;GMT+7;Tian;Urgent maintenance to migrate the peer into a VRF on the ABH router.;Urgent maintenance to migrate the peer into a VRF on the ABH router.;Downtime for vlan902 only, estimated to last around 5 minutes.;Email;Email;No;;;;;;
41;NTTG-PHC;ABH-ICON;202400250;;Packet Loss;#20250000600;;Closed;12/06/2025 6:45:00;12/06/2025 14:08:00;07:23:00;GMT+7;Tian;issue due to exceeding service capacity (congestion);Checking circuit dan monitoring;#20250000600 | NTT-PHC (ABH-ICON) | 202400250 | Link down & Packet loss | Customer report mengalami down sejak periode 06 Juni dan meminta untuk di check | Dari hasil initial check pada periodde yang di mentioned bahwa tidak di temukannya issue dan tidak ada downtime, namun di temukannya conegstion utilisasi | Sedang dikonfirmasi untuk detail issuenya link down atau paket loss | FU konfirmasi ke NTTG | CLOSED;Email;Email;No;;;;;;
42;ABH;Smartfren;request allow prefix 117.103.116.0/24;;Req. Allow & Adv. Prefix;#20250000601;;Open;;;;GMT+7;Tian;;;Request Done;Email;Email;No;;;;;;
43;ABH;Linknet;request allow prefix 117.103.116.0/24;;Req. Allow & Adv. Prefix;#20250000602;;Open;;;;GMT+7;Tian;;;Request Done;Email;Email;No;;;;;;
44;ABH;Biznet;request allow prefix 117.103.116.0/24;;Req. Allow & Adv. Prefix;#20250000603;;Open;;;;GMT+7;Tian;;;Request Done;Email;Email;No;;;;;;
45;ABH;Moratel;request allow prefix 117.103.116.0/24;;Req. Allow & Adv. Prefix;#20250000604;;Open;;;;GMT+7;Tian;;;Request Done;Email;Email;No;;;;;;
46;ABH;XL;"request allow prefix 117.103.116.0/24
047C2202L1";;Req. Allow & Adv. Prefix;#20250000605;;Closed;;;;GMT+7;Tian;;;Request Done;Email;Email;No;;;;;;
47;ABH;DCC;request allow prefix 117.103.116.0/24;;Req. Allow & Adv. Prefix;#20250000606;;Open;;;;GMT+7;Tian;;;Request Done;Email;Email;No;;;;;;
48;ABH;ISPL;request allow prefix 117.103.116.0/24;;Req. Allow & Adv. Prefix;#20250000607;;Open;;;;GMT+7;Luthfi;;;Request Done;Email;Email;No;;;;;;
49;ABH;Fiberstar;request allow prefix 117.103.116.0/24;CRT2504019829;Req. Allow & Adv. Prefix;#20250000608;;Closed;;;;GMT+7;Luthfi;;;Request Done;Email;Email;No;;;;;;
50;China Embassy;ABH-Telkom;202400112;2007736169;Packet Loss;#20250000609;;Closed;11/06/2025 19:12;;;GMT+7;Luthfi;There is congestion with the traffic impacted packet loss;Checking log and monitor;#20250000609 | China Embassy (ABH-Telkom) | Packet Loss | 202400112 | CE report mengalami packet loss saat menggunakan network Telkom menuju DNS google 8.8.8.8 Ip gateway dan user ONT | Initial check sudah di berikan bahwa normal dan tidak ada packet loss | Saat di check di NMS bahwa pada periode CE report traffic sempat congest dan bisa menyebabkan packet loss | Sudah disampaikan ke CE | FU konfirmasi ke CE;Email;Email;yes;;;;;;
51;DCC-Huawei;ABH;202500080;;Traffic Drop;#20250000610;Pro-Active;Open;11/06/2025 23:00;;;GMT+7;Haikal;;;;;;;;;;;;
52;DCC;Powertel-ABH;202400154;320100011;Link Down;#20250000611;;Closed;12/06/2025 5:00;12/06/2025 8:00;03:00:00;GMT+8;Tian;No issue in ABH and vendor segment;Checking circuit, log, and monitoring;#20250000611 | DCC (ABH-Powertel) | 202400154 (CYBER<>SIGMA 4 mb) | Link Interrupt | DCC report link interrupt dari pukul 12/06/2025 05:00 - 08.00 GMT+8 | dari pengecekan segmen ABH no detect issue dan pengecekan dari Powertel mpls VSI tidak reset dan tidak detect log | sudah disampaikan hasil pengecekannya bahwa tidak adanya issue pada local-loop cyber<>sigma dan Mpls VSI no reset | FU konfirmasi ke Aofei untuk close ticket | DCC minta hold 24 jam sampai 18:00 13/06/2025 WIB | DCC kembali complain dan meminta check koneksi menuju SF | Sudah diberikan hasil pengecekan bahwa MAC-Address SF detect sampe Cyber dan tidak ada gangguan port fisik pada port facing SF, Segment ABH clear | Sudah disampaikan ke DCC dan meminta konfirmasi untuk close ticket | FU konfirmasinya ke DCC | DCC meminta untuk memasang IP dummy di sisi ABH-PWTL | Dari hasil pengeekan PWTL bahwa type interface mereka trunk namun saat ini tidak bisa di pasang dummy di karenakan Link nya aktif di L2 binding VSI | Sudah di sampaikan ke DCC | FU konfirmasi untuk close ticket ke DCC | Sudah di kirimkan closure | CLOSED;Email;WhatsApp;No;;;;;;
53;ABH;MDC;B09<>A14;;Req Interconnection 4 pair;#20250000612;;Open;12/06/2025 13:00;;;GMT+7;Tian;Req Interconnection 4 pair;Req Interconnection 4 pair;Req Interconnection 4 pair;Email;Email;;;;;;;
54;Linkcloud;SSM;vlan3702;;Link Down;#20250000613;;Closed;12/06/2025 13:48;12/06/2025 14:06;00:17:10;GMT+7;Tian;FO cut at a distance of 2.7 km from POP Kendal towards Lastmile impact of attracted truck.;Rerouted mainlink to backup link.;#20250000613 | Linkcloud (SSM) | VLAN3702 | Lingyun report vlan 3702 down pada pukul 12/06/2025 13:48 GMT+7 | Info SSM ada issue pada mainlink mereka dan saat ini direroute ke backup link | FU perbaikan primary ke SSM | Update dari SSM sedang melakukan tracing mainlink dan menemukan bawha kabel terkena truck | Udpate dari SSM sudah di repair untuk mainlinkny dan saat ini sudah di rerouted juga | Draft IR lalu share ke Linkcloud;Email;Email;yes;;;;;;
55;CBC;ABH;202400143;;Connection issues;#20250000614;;Closed;12/06/2025 13:47;12/06/2025 21:15;07:28:00;GMT+7;Tian;There is an issue on the upstream provider’s Backbone on the JKT side which causes the route to 8.8.8.8 to reset and auto switch to another route.;To smooth the switchover, our team has performed an optimization.; #20250000614 | CBC (ABH - ISPL) | CBC report loss ke arah internet 8.8.8.8 | dari hasil pengecekan match dengan flapnya ISPL 766 pada tiket #20250000615 ada dilog | Sudah disampaikan initial checknya | FU pengecekan ISPL | Dari hasil pengecekan ISPL bahwa issue impact dari flapping Backbone CYBER<>EDGE yang menyebabkan auto reroute nya tidak smooth | Sudah disampaikan ke CBC | CBC meminta untuk improve terkait switchovernya | Sudah di adjust temporary untuk route 8.8.8.8 via DCC | CBC report kembali mengalami packet loss dan issue pada hop DCC | Sudah di rollback kembali ke ISPL | Prepare RFO | RFO sudah disampaikan | CLOSED;Email;Email;yes;;;;;;
56;ABH;ISPL;VLAN766 & 791;;Flapping;#20250000615;#2025-0060120;Open;12/06/2025 13:32;12/06/2025 13:33;00:01:00;GMT+7;Tian;;;;Email;Email;;;;;;;
57;Aofei;ABH;"202500007
RR2-RD2/180124 RBN-CN";;Packet Loss;#20250000616;;Closed;12/06/2025 21:28:00;12/06/2025 22:05:00;00:37:00;GMT+7;Luthfi;There is an Asymetric route where the Egress is via ABH<>OIXP and the Ingress is via ACE<>Indonet which causes packet loss, Segment ABH is clear and there are no issues.;Checking circuit and monitoring;#20250000616 | Tencent-ISC (ABH) | Packet loss | RR2-RD2/180124 RBN-CN | Aofei report bahwa mengalami packet loss saat menuju destinasi Myrep | Sudah di open ticket | Dari hasil pengecekan bahwa Egressnya via ABH<>OIXP<>Myrep dan tidak ada issue pada ABH<>OIXP maupun OIXP<>Myrep, namun dari traceback Ingressnya terlihat asymetric yang mana via Indonet | Sudah disampaikan hasil pengecekannya ke Aofei | FU konfirmasi untuk close ticket ke Aofei | CLOSED;Email;Email;yes;;;;;;
58;ABH;MDC;Permit Outbound MDC B09;;Req Permit Outbound;#20250000617;;Open;;;;GMT+7;Tian;;;;Email;Email;;;;;;;
59;ABH;MDC;B09<>B07;;Req Interconnection 1 pair;#20250000618;;Open;13/06/2025 15:40:00;;;GMT+7;Tian;Req Interconnection 1 pair;Req Interconnection 1 pair;Req Interconnection 1 pair;Email;Email;;;;;;;
