No;Customer;Suplier;CID ABH;CID Supplier;Type of Issue;ABH Ticket Number;Supplier Ticket Number;Status;Date/Start Time;Date/End Time;Duration;Timezone;On Duty;Root Cause;Action Taken;Chronology;Cordination To Customer;Cordination To Supplier;Status RFO Send;;;;;;
11;DCC;ABH;L1 NEU-CYB | No Service Order;;Link Down;#20250000112;;Closed;04/02/2025 11:22;04/02/2025 11:50:00;00:28:00;GMT+8;Luthfi;No issue in ABH segment the power and log is normal ;Checking circuit log and monitoring;#20250000112 | DCC (ABH) | Link Down | L1 NEU-CYB | No Service Order | DCC report port chanell 30 nya mengalami down dan sudah kembali resolved | Dari hasil pengecekan log bahwa menunjukan tidak receive input power dari DCC | Sudah disampaikan ke DCC beserta komparasi | Update dari DCC boleh ignore ticket ini | CLOSED;Email;Email;yes;Malfunction on the link;;PDT;;;
12;Aofei;ABH;RR2-RD2/180124 RBN-CN;10742-OWS-ABH-SIN IPT;Destiantion Unreachable;#20250000113;;Closed;4/2/2025 12:27;4/2/2025 13:30;01:03:00;GMT+7;Luthfi;ABH does not receive the prefix and does not reach when tested from any network;Checking circuit log and monitoring;;Email;Email;yes;High Latency;;;Sufyar;;
13;Lingyun;Aofei-SSM;202400094;"SSM: L2 JKT<>Kendal
Aofei: N_20240809_021 (JKT-HK)";Packet Loss & Latency Increase;#20250000114;;Closed;5/2/2025 12:40;5/2/2025 12:40;00:00:00;GMT+7;Luthfi;;Normal by itself;2. #20250000114 | Lingyun (Aofei-SSM) | Packet Loss & Latency Increase | 202400094 | Dari monitoring terlihat traffic lingyun sempat interrupt periode 05/02/2025 12:40 GMT+7 | Sudah di proactive ke Lingyun | Update dari Lingyun bahwa customernya confirm mengalami packet loss dan high latency | Sudah di open ticket ke Aofei&SSM | FU hasil pengecekan keduanya | Status saat ini sudah normal | Monit | Tunggu konfirmasi Lingyun kembali | Closed;Email;Email;yes;Packet Loss & Latency Increase;;;Adit;;
14;Aofei;ABH-OWS;RR2-RD2/180124 RBN-CN;10742-OWS-ABH-SIN IPT;Destiantion Unreachable;#20250000115;;Closed;05/02/2025 16:37;05/02/2025 18:08;01:31:00;GMT+7;Syahrul;There are no issues in the ABH segment and test results are normal and reach towards the destination.;"Checking circuit log and monitoring
";#20250000115 | Aofei(ABH-OWS) Destiantion Unreachable | 10742-OWS-ABH-SIN IPT | Aofei report koneksi ke 203.153.22.2, 203.153.22.1 | FU pengecekan OWS | Hasil pengecekan terlihat bahwa tidak ada issue | Confirm untuk close ticket ke Aofei | Confirm close | CLOSED;Email;Email;No;;;;Bayu;;
15;NTTG_CAMPINA;ABH-ICON+;202400152;1,11401E+11;Interupption;#20250000116;;Closed;06/02/2025 3:48;06/02/2025 3:56;00:08:00;GMT+7;Tian;Link Interrupt;Reroute by NOC ICON+;3. #20250000116 | NTTG_CAMPINA (ABH-ICON+) | Link Interrupt (Cust No Complain) | terpantau traffic drop pada cacti 03:48 sd 03:56 dan cek l2tpnya pada device reset  | Dari hasil pengecekan tim Icon adanya gangguan pada jalur segment Cawang - Ujung Berung dan sudah dilakukan perbaikan jalur | Monitoring dan minta RFO ke Icon | CLOSED;;WhatsApp;;Bit Error;;;;;
16;DCC;ABH;L1 NEU<>CYB;;Link Down;#20250000117;;Closed;08/02/2025 18:39;08/02/2025 20:34;01:54:31;GMT+7;Syahrul;There is no issue in the ABH segment where the DCC device in MDC does not send power to the ABH device, causing the port to shut down.; Checking circuit and log;#20250000117 | DCC ( ABH ) | L1 NEU<>CYB No Service Order | DCC report bahwa mengalami link down neu<>cyb | dari hasil capture yang diberikan terlihat bahwa perangkat DCC disisi MDC tidak mengirim power ke perangkat ABH | konfirmasi ke DCC | Tunggu 48 jam apabila setelahnya tidak ada update maka close | CLOSED;Email;Email;No;;;;;;
17;Linkcloud;Aofei;VLAN3702;;Maintenance;#20250000118;;Open;;;;GMT+7;Syahrul;;;;Email;Email;No;Interupption;;;;;
18;THC;ABH;AB22011 ;;Link Down;#20250000119;;Closed;08/02/2025 18:01;08/02/2025 18:03;00:02:00;GMT+7;Syahrul;Activity di APJII;Auto Recovered;#20250000119 | THC (ABH) | THC Report port mengalami flapping 1 menit | Impact activity internal | Auto recovery;Email;Email;yes;;;;;;
19;CU;ABH-JLM;202300020;;Link Down;#20250000120;;Closed;06/02/2025 12:00;06/02/2025 12:00;00:00:00;GMT+7;Haikal;We did not receive any power on the NeuCentrIX side that caused a link down.;Checking circuit, log, and monitoring.;#20250000120 | CU (ABH-JLM) | Link Down | 202300020 | Terlihat port dari CU di sisi Neu mengalami down sejak 06/02/2025 12:00 | Dalam pengecekan dari sisi kita tidak terima power dari arah customer | Feedback dari CU, bahwa mereka sampai saat ini tidak ada report dari customernya | FU Feedback dari CU | Confirm dari CU dapat close ticket | CLOSED;Email;Email;No;;;;;;
20;CTG-ALI;ABH-IIX;202300003;;Link Down;#20250000121;;Closed;10/02/2025 3:34:08;10/02/2025 3:34:08;00:00:00;GMT+7;Haikal;;;;;;;Power Low;;;Giovanni;;
21;ABH;Powertel;;320100017 | NEU<>CYBER;Link Down;#20250000122;T9P-5WQ-VW43;Closed;10/02/2025 8:54;10/02/2025 19:19:28;10:24:59;GMT+7;Tian;FO Cut km 6 dari Tomang; jumper 300 meter & Resplicing Core; #20250000122 | ABH (Powertel) T9P-5WQ-VW43 | 320100017 | Link Down NEU<>CYBER | Info Powertel terdapat FO cut imbas pekerjaan pembersihan | FU progressnya | Powertell sudah melakukan jumper kabel dan penyambungan ulang | Link sudah kembali up periode 10/02/2025 19:19:28 WIB | Sudah di infokan ke PWTL | FU RFO ke PWTL | RFO sudah diberikan oleh PWTL | Validasikan ke Intl | CLOSED;Email;Email;yes;Intermittent;;;;;
22;;;;;;#20250000123;;;;;;;;;;;;;;Network Freeze;;;;;
23;ABH;Linknet;Req Advertised;Req Advertised;;#20250000124;;Closed;;;;;;;;;;;;Req. Adjust route;;;;;
24;Shopee;ABH-LA;"AB22021-A (Line-1)
AB22021-B (Line-2)";2022330002;Maintenance;#20250000125;;Closed;17/02/2025 0:01;17/02/2025 5:00;04:59:00;GMT+7;Luthfi;Preventive maintenance to upgrade the backbone capacity of the Cibitung-Jakarta segment by relocating the backbone port from the Nx100G node to the new Nx400G node to prevent link congestion.;Preventive maintenance to upgrade the backbone capacity of the Cibitung-Jakarta segment by relocating the backbone port from the Nx100G node to the new Nx400G node to prevent link congestion.;"Downtime Estimation : 60 minutes
";Email;Email;No;BGP Down;;;;;
25;DCC;ABH;"DC: NEX DC 
Date: 10-Feb-25
Time: 21PM-24PM?GMT+8?
SOW: Check the power supply on the NEX DC device";"DC: NEX DC 
Date: 10-Feb-25
Time: 21PM-24PM?GMT+8?
SOW: Check the power supply on the NEX DC device";Request Check Power;#20250000126;;Closed;10/02/2025 21:00;11/02/2025 0:00;03:00:00;GMT+7;Luthfi;;;RHS DCC - #202500011 | DCC (ABH) | Re: RHS Request for Patching Activity at NEX DC | 10/02/2025 21:00 - 24:00 GMT+7 | Done closed;Email;Email;No;Prefix Leaking;;;;;
26;CU;ABH;202300020;;Maintenance;#20250000127;Completed;Closed;23/02/2025 0:00;23/02/2025 6:00;06:00:00;GMT+7;Haikal;Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 to ensure network stability.;"Totally Down for a maximum of 60 minutes.
";#20250000127 | CU (ABH) | 202300020 | Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 | February 23th, 2025 | Announced | COMPLETED;Email;Email;No;;;;;;
27;OWS;ABH;AB22025;;Maintenance;#20250000128;Completed;Closed;23/02/2025 0:00:00;23/02/2025 6:00;06:00:00;GMT+7;Haikal;Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 to ensure network stability.;No downtime. Each port will be relocated separately.;#20250000128 | OWS (ABH) | AB22025 - IdEX-hybrid | Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 | February 23th, 2025 | Announced | COMPLETED;Email;Email;No;;;;;;
28;AOFEI-ALIBABA;ABH;"XC-369
XC-370";;Maintenance;#20250000129;Completed;Closed;23/02/2025 0:00;23/02/2025 6:00;06:00:00;GMT+7;Haikal;Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 to ensure network stability.;No downtime. Each port will be relocated separately.;#20250000129 | Aofei (ABH) | XC-369 | XC-370 | Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 | February 23th, 2025 | Announced | COMPLETED;Email;Email;No;Destination Unreachable;;;;;
29;Jupter;ABH;AB23028;;Maintenance;#20250000130;Completed;Closed;23/02/2025 0:00;23/02/2025 6:00;06:00:00;GMT+7;Haikal;Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 to ensure network stability.;"Totally Down for a maximum of 60 minutes.
";#20250000130 | Jupiter (ABH) | AB23028 | Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 | February 23th, 2025 | Announced | COMPLETED;Email;Email;No;Terminated;;;;;
30;Aofei-Tencent ISC;ABH;202400051;;Maintenance;#20250000131;Completed;Closed;23/02/2025 0:00;23/02/2025 6:00;06:00:00;GMT+7;Haikal;Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 to ensure network stability.;Totally Down for a maximum of 60 minutes.;#20250000131 | Aofei (ABH) | 202400051 | Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 | February 23th, 2025 | Announced | COMPLETED;Email;Email;No;;;;;;
31;THC;ABH;AB22011;;Maintenance;#20250000132;Completed;Closed;23/02/2025 0:00;23/02/2025 6:00;06:00:00;GMT+7;Haikal;Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 to ensure network stability.;Totally Down for a maximum of 60 minutes.;#20250000132 | THC (ABH) | AB22011 | Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 | February 23th, 2025 | Announced | COMPLETED;Email;Email;No;;;;;;
32;CTG-ALI;ABH;202300003;;Maintenance;#20250000133;Completed;Closed;23/02/2025 0:00;23/02/2025 6:00;06:00:00;GMT+7;Haikal;Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 to ensure network stability.;Totally Down for a maximum of 60 minutes.;#20250000133 | CTG (ABH) | 202300003 | Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 | February 23th, 2025 | Announced | COMPLETED;Email;Email;No;;;;;;
33;DCC-WangsuNex2 CAC;ABH;202400221;;Maintenance;#20250000134;Completed;Closed;23/02/2025 0:00;23/02/2025 6:00;06:00:00;GMT+7;Haikal;Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 to ensure network stability.;;#20250000134 | DCC (ABH) | 202400221 | VLAN889 | VLAN893 | VLAN890 | Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 | February 23th, 2025 | Announced | COMPLETED;Email;Email;No;;;;;;
34;DCC;ABH;"202400221 - WangsuNEX2 IPT
202400154 - SIGMA
202400220 - LL Arthamedia";;Maintenance;#20250000135;Completed;Closed;23/02/2025 0:00;23/02/2025 6:00;06:00:00;GMT+7;Haikal;Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 to ensure network stability.;Totally Down for a maximum of 60 minutes.;#20250000135 | DCC (ABH) | 202400221 | 202400154 | 202400220 | Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 | February 23th, 2025 | Announced | COMPLETED;Email;Email;No;Request Check Prefix ;;;;;
35;Baishan;ABH;Multiple Service;"202400149
VLAN793

202300006
VLAN794

202400150
VLAN795";Maintenance;#20250000136;Completed;Closed;23/02/2025 0:00;23/02/2025 6:00;06:00:00;GMT+7;Haikal;Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 to ensure network stability.;No downtime. Each port will be relocated separately.;#20250000136 | Baishan (ABH) | 202400149 | 202300006 202400150 | Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 | February 23th, 2025 | Announced | COMPLETED;Email;Email;No;;;;;;
36;Platinum;ABH;202400078;;Maintenance;#20250000137;Completed;Closed;23/02/2025 0:00;23/02/2025 6:00;06:00:00;GMT+7;Haikal;Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 to ensure network stability.;Totally Down for a maximum of 60 minutes.;#20250000137 | PLATINUM (ABH) | 202400078 | Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 | February 23th, 2025 | Announced | COMPLETED;Email;Email;No;;;;;;
37;DCC-ARTAMEDIA;ABH;202400220;;Maintenance;#20250000138;Completed;Closed;23/02/2025 0:00;23/02/2025 6:00;06:00:00;GMT+7;Haikal;Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 to ensure network stability.;Totally Down for a maximum of 60 minutes.;;Email;Email;No;;;;;;
38;3GO-IIX;ABH;202400097;RG3-RR2/240424;Maintenance;#20250000139;Completed;Closed;23/02/2025 0:00;23/02/2025 6:00;06:00:00;GMT+7;Haikal;Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 to ensure network stability.;Totally Down for a maximum of 60 minutes.;#20250000139 | 3GO (ABH) | 202400097 (RG3-RR2/240424) | Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 | February 23th, 2025 | Announced | COMPLETED;Email;Email;No;;;;;;
39;CBC;ABH;202400143;;Maintenance;#20250000140;Completed;Closed;23/02/2025 0:00;23/02/2025 6:00;06:00:00;GMT+7;Haikal;Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 to ensure network stability.;No downtime. Each port will be relocated separately.;#20250000140 | CBC (ABH) | 202400143 | Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 | February 23th, 2025 | Announced | COMPLETED;Email;Email;No;;;;;;
40;DCC-SIGMA-CYB;ABH;202400154;;Maintenance;#20250000141;Completed;Closed;23/02/2025 0:00;23/02/2025 6:00;06:00:00;GMT+7;Haikal;Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 to ensure network stability.;Totally Down for a maximum of 60 minutes.;;Email;Email;No;;;;;;
41;Magna;ABH;202500012;;Maintenance;#20250000142;Completed;Closed;23/02/2025 0:00;23/02/2025 6:00;06:00:00;GMT+7;Haikal;Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 to ensure network stability.;Totally Down for a maximum of 60 minutes.;#20250000142 | Magna (ABH) | 202500012 - IdEX-hybrid | Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 | February 23th, 2025 | Announced | COMPLETED;Email;Email;No;;;;;;
42;Port Baishan-IIX;ABH;202400096;;Maintenance;#20250000143;Completed;Closed;23/02/2025 0:00;23/02/2025 6:00;06:00:00;GMT+7;Haikal;Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 to ensure network stability.;Totally Down for a maximum of 60 minutes.;#20250000143 |  Baishan (ABH) | 202400096 - G3-RR2/060524 IIX-EDGENEXT | Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 | February 23th, 2025 | Announced | COMPLETED;Email;Email;No;;;;;;
43;IDCH;ABH;AB21009;;Maintenance;#20250000144;Completed;Closed;23/02/2025 0:00;23/02/2025 6:00;06:00:00;GMT+7;Haikal;Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 to ensure network stability.;No downtime. Each port will be relocated separately.;#20250000144 |  IDCH (ABH) | AB21009 | Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 | February 23th, 2025 | Announced | COMPLETED;Email;Email;No;;;;;;
44;Aofei;ABH;"VLAN1891-VLAN1893 &
 VLAN1892-VLAN1894";Neu <> Cyb;Maintenance;#20250000145;Completed;Closed;23/02/2025 0:00;23/02/2025 6:00;06:00:00;GMT+7;Haikal;Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 to ensure network stability.;No downtime. Each port will be relocated separately.;#20250000145 |  Aofei (ABH) | (VLAN1891-VLAN1892 & VLAN1893-VLAN1894) | Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 | February 23th, 2025 | Announced | COMPLETED;Email;Email;No;;;;;;
45;DCC;ABH;"DC: NEX DC 
Date: 11-Feb-25
Time: 12PM-selesai?GMT+8?
SOW: Check the power supply on the NEX DC device";"DC: NEX DC 
Date: 11-Feb-25
Time: 12PM-selesai?GMT+8?
SOW: Check the power supply on the NEX DC device";Request ;#20250000126; RHS DCC - #202500012;Closed;11/02/2025 12:00;11/02/2025 14:17;02:17:00;GMT+7;Tian;;;Done;Email;Email;No;;;;;;
46;NTTG - PHC ;ABH;202400250;;Maintenance;#20250000147;;Open;23/02/2025 0:00;23/02/2025 6:00;06:00:00;GMT+7;Haikal;Preventive maintenance for port relocation and cable management of cross-connects at APJII CYBER1 to ensure network stability.;Totally Down for a maximum of 60 minutes.;;Email;Email;No;Power Degrade;;;;;
47;DCC;ABH;"DC: Neu DC 
Date: 12-Feb-25
Time: 10AM-13PM?GMT+7?
SOW: To take 2 pcs 100G QSFP from below switch, and power off the DCC server and switch that newly install at Neu R36";"DC: Neu DC 
Date: 12-Feb-25
Time: 10AM-13PM?GMT+7?
SOW: To take 2 pcs 100G QSFP from below switch, and power off the DCC server and switch that newly install at Neu R36";Request Take QSFP;#20250000148;RHS DCC - #202500014;Closed;12/02/2025 10:00;12/02/2025 13:00;03:00:00;GMT+7;Tian;;;;Email;WhatsApp;No;;;;;;
48;DCC;ABH;"DC: NEX DC 
Date: 12-Feb-25
Time: 15PM-18PM?GMT+7?
SOW: Request for power up server and patching at NEX DC";"DC: NEX DC 
Date: 12-Feb-25
Time: 15PM-18PM?GMT+7?
SOW: Request for power up server and patching at NEX DC";Req Check;#20250000149; RHS DCC - #202500013;Closed;12/02/2025 15:00;12/02/2025 18:00;03:00:00;GMT+7;Tian;;;#202500013 | DCC (ABH) | Request for power up server and patching at NEX DC | 12/02/2025 15:00-18:00 GMT+7 | DONE;Email;WhatsApp;No;Jitter;;;;;
49;DCC;ABH;;L1 NEU-CYB | No Service Order;Maintenance;#20250000150;;Closed;16/02/2025 0:00;16/02/2025 6:00;06:00:00;GMT+7;Luthfi;"Preventive maintenance for port relocation and cable management of 
cross-connects at APJII CYBER1 to ensure network stability. ";"Preventive maintenance for port relocation and cable management of 
cross-connects at APJII CYBER1 to ensure network stability. ";Totally Down for a maximum of 60 minutes. ;Email;Email;No;Packet Loss;;;;;
50;Linkcloud;SSM;202400094;HK<>Kendal;Link Down;#20250000151;202502196;Closed;13/02/2025 0:58;13/02/2025 6:22;05:24:00;GMT+7;Tian;Broadcast Multicast menyebabkan looping pada sisi IDC <> Kendal pada POP Server SSM;Rerouting Link terdampak;#20250000151 | Lingyun (SSM) | IEPL Kendal - Mega-I | Lingyun report vlan3702 down sejak 02:00 GMT+8 | Info dari SSM ada multicast broadcast pada IDC<>Kendal dan normal kembali setelah di reroute | sudah dijelaskan ke Lingyun | RFO Available | RFO Official belum dikirim | Prepared ke internal | RFO sudah di release ke customer | CLOSED;WeChat;WhatsApp;yes;;;;;;
51;ABH ;DCC;BGP Genie;SDPP202411110001;BGP Down;#20250000152;;Closed;12/02/2025 19:05;12/02/2025 21:30;02:25:00;GMT+7;Tian;Konfirmasi dari DCC bahwa adanya issue pada storage server dan action dari tim DCC adalah relokasi storage dari VM lain;Konfirmasi dari DCC bahwa adanya issue pada storage server dan action dari tim DCC adalah relokasi storage dari VM lain;#20250000152 | ABH (DCC) | SDPP202411110001 | BGP Genie down pada february 12, 19:05:56 to 21:30:56 GMT+7 | Info dari DCC disk usage terlalu tinggi yang menyebabkan VM freeze dan dilakukan adjusted disk dan system recovery | Sedang konfirmasi ke DCC | Konfirmasi dari DCC bahwa adanya issue pada storage server dan action dari tim DCC adalah relokasi storage dari VM lain | Sudah di konfirmasi ke internal | Confirm untuk close ticket | CLOSED;Email;Email;No;Routing Error;;;;;
52;ABH;XL;Req Check Prefix;Req Check Prefix;Req Check Prefix;#20250000153;;Closed;;;;;Tian;;;#20250000153 | N25021300378 | Minta XL untuk advertised prefix ke NAPMIX | FU Progressnya | Info dari tim XL bahwa prefix tersebut tidak di Adv ke Napmix karena milik End Customer nya XL dan Internal XL | CLOSED;;;;;;;;;
53;DCC;ABH;;;Traffic Drop;#20250000154;;Closed;;;;;Tian;Pro-Active Traffict Drain;Info  DCC Igone saja;Info  DCC Igone saja;Email;Email;;;;;;;
54;DCC;ABH;Request for taking 2 DCC Switch at Neucentrix R36 to NEX DC;Request for taking 2 DCC Switch at Neucentrix R36 to NEX DC;Req RHS;#20250000155;;Closed;13/02/2025 16:00;13/02/2025 18:00;02:00:00;GMT+7;Tian;Request for taking 2 DCC Switch at Neucentrix R36 to NEX DC;Request for taking 2 DCC Switch at Neucentrix R36 to NEX DC;;Email;Email;;;;;;;
55;DCC;ABH;Request for power up server and patching at NEX DC;Request for power up server and patching at NEX DC;Req RHS;#20250000156;;Closed;14/02/2025 9:00;14/02/2025 18:00;09:00:00;GMT+7;Tian;Request for power up server and patching at NEX DC;Request for power up server and patching at NEX DC;Request for power up server and patching at NEX DC;Email;Email;;;;;;;
56;DCC;ABH;Request for taking 2 DCC Switch at Neucentrix R36 to NEX DC;Request for taking 2 DCC Switch at Neucentrix R36 to NEX DC;Req RHS;#20250000157;;Closed;13/02/2025 16:00;13/02/2025 18:00;02:00:00;GMT+7;Tian;Request for taking 2 DCC Switch at Neucentrix R36 to NEX DC;Request for taking 2 DCC Switch at Neucentrix R36 to NEX DC;;Email;Email;;;;;;;
