No;Customer;Suplier;CID ABH;CID Supplier;Type of Issue;ABH Ticket Number;Supplier Ticket Number;Status;Date/Start Time;Date/End Time;Duration;Timezone;On Duty;Root Cause;Action Taken;Chronology;Cordination To Customer;Cordination To Supplier;Status RFO Send;;;;;;
27;Aofei-Tencent ISC;ABH-OWS;"103.150.178.80
103.150.178.81";IPT Vlan 839;Destiantion Unreachable;#20250000027;;Closed;09/01/2025 13:54:00;09/01/2025 14:40;00:46:00;GMT+7;Luthfi;Unreachable;Suspect adjustment di destinasi;2. #20250000027 | Aofei (ABH-OWS) | Dest Unreachable | IPT Vlan 839 | Aofei report bahwa source 43.159.72.47 (Tencent ISC) tidak bisa reach ke dest 103.158.252.1 (Zenlayer) periode 2025-01-09 12:34:59 GMT+08 | Sudah di open ticket ke OWS | FU OWS untuk hasil pengecekan dan update selanjuntya | Hasil mtr OWS dari INTL reach ke dest dan no issue | Suspect ada adjustment disisi destinasi karena table routenya sempat reset | Sudah di konfirmasi ke Aofei | Pending confirm dari End Customer Aofei | Closed;Email;Email;No;;;;;;
28;CTG-ALI;ABH;202300003;;Flapping;#20250000028;;Closed;09/01/2025 14:00;09/01/2025 15:00;01:00:00;GMT+7;Haikal;SLX failure;Reconfigure; #20250000028 | CTG-ALI (ABH-IIX) | Flapping | 202300003 (LL DCI <> APJII) | CTG report bahwa detect multiple flappiing | Sudah di jelaskan ke CTG bahwa sebelumnya sempat ada issue di sisi IIX dan Port facing cust sempat up/down, dan saat ini sudah Up namun BGP dengan IIX masih belum Establ | FU confirm dari CTG untuk re-establ BGP nya dengan IIX | RFO sudah ada | Sudah disampaikan | CLOSED;Email;Email;yes;Destiantion Unreachable;;;;;
29;Aofei;ABH;"Aofei Neu<>Cyb
Aofei Jakabare
Tencent ISC";;Maintenance;#20250000029;Has Announced;Closed;23/01/2025 0:00;23/01/2025 5:00;05:00:00;GMT+7;Haikal;Planned Maintenance for Replacing Core Switch at Cyber-1;Planned Maintenance for Replacing Core Switch at Cyber-1;Multiple Downtime for a maximum of 30 minutes due to port relocation;Email;Email;No;Terminated;;;;;
30;Aofei Domestic;ABH;Domestic 111 & 112;;Maintenance;#20250000030;Has Announced;Closed;23/01/2025 0:00;23/01/2025 5:00;05:00:00;GMT+7;Haikal;Planned Maintenance for Replacing Core Switch at Cyber-1;Planned Maintenance for Replacing Core Switch at Cyber-1;Route Loss to The Domestic Destination for a Maximum of 30 Minutes;Email;Email;No;;;;;;
31;DCC;ABH;"Wangsu-Neu
Bytedance";;Maintenance;#20250000031;Has Announced;Closed;23/01/2025 0:00;23/01/2025 5:00;05:00:00;GMT+7;Haikal;Planned Maintenance for Replacing Core Switch at Cyber-1;Planned Maintenance for Replacing Core Switch at Cyber-1;Route Loss to Domestic Destination for a Maximum of 30 Minutes;Email;Email;No;;;;;;
32;DCC;ABH;Wangsu-Nex2;202400221;Maintenance;#20250000032;Has Announced;Closed;23/01/2025 0:00;23/01/2025 5:00;05:00:00;GMT+7;Haikal;Planned Maintenance for Replacing Core Switch at Cyber-1;Planned Maintenance for Replacing Core Switch at Cyber-1;Multiple Downtime for a Maximum of 30 Minutes due to Port Relocation;Email;Email;No;;;;;;
33;Baishan;ABH;"VLAN793
VLAN794
VLAN795";;Maintenance;#20250000033;Has Announced;Closed;23/01/2025 0:00;23/01/2025 5:00;05:00:00;GMT+7;Haikal;Planned Maintenance for Replacing Core Switch at Cyber-1;Planned Maintenance for Replacing Core Switch at Cyber-1;Multiple Downtime for a Maximum of 30 Minutes due to Port Relocation;Email;Email;No;;;;;;
34;HK-Seaga;ABH;202400071;;Maintenance;#20250000034;Has Announced;Closed;23/01/2025 0:00;23/01/2025 5:00;05:00:00;GMT+7;Haikal;Planned Maintenance for Replacing Core Switch at Cyber-1;Planned Maintenance for Replacing Core Switch at Cyber-1;Route Loss to Domestic Destination for a Maximum of 30 Minutes;Email;Email;No;Request Check Prefix ;;;;;
35;3GO;ABH;202400128;;Maintenance;#20250000035;Has Announced;Closed;23/01/2025 0:00;23/01/2025 5:00;05:00:00;GMT+7;Haikal;Planned Maintenance for Replacing Core Switch at Cyber-1;Planned Maintenance for Replacing Core Switch at Cyber-1;Route Loss to MYREP AS63859 and ICON9341 Destination for a Maximum of 30 Minutes;Email;Email;No;;;;;;
36;OWS;ABH;AB22025 (VLAN4062);;Maintenance;#20250000036;Has Announced;Closed;23/01/2025 0:00;23/01/2025 5:00;05:00:00;GMT+7;Haikal;Planned Maintenance for Replacing Core Switch at Cyber-1;Planned Maintenance for Replacing Core Switch at Cyber-1;Loss to Domestic Destination for a Maximum of 30 Minutes;Email;Email;No;;;;;;
37;CTG-ALI;ABH;202300003 (LL DCI - APJII IIX);;Maintenance;#20250000037;Has Announced;Closed;23/01/2025 0:00;23/01/2025 5:00;05:00:00;GMT+7;Haikal;Planned Maintenance for Replacing Core Switch at Cyber-1;Planned Maintenance for Replacing Core Switch at Cyber-1;Multiple Downtime for a Maximum of 30 Minutes due to port relocation;Email;Email;No;;;;;;
38;Biznetgio;ABH;AB23033 ;;Maintenance;#20250000038;Has Announced;Closed;23/01/2025 0:00;23/01/2025 5:00;05:00:00;GMT+7;Haikal;Planned Maintenance for Replacing Core Switch at Cyber-1;Planned Maintenance for Replacing Core Switch at Cyber-1;Multiple Downtime for a Maximum of 30 Minutes due to Backbone Relocation;Email;Email;No;;;;;;
39;MPLS;ABH;AB23030 ;;Maintenance;#20250000039;Has Announced;Closed;23/01/2025 0:00;23/01/2025 5:00;05:00:00;GMT+7;Haikal;Planned Maintenance for Replacing Core Switch at Cyber-1;Planned Maintenance for Replacing Core Switch at Cyber-1;Multiple Downtime for a Maximum of 30 Minutes due to Backbone Relocation.;Email;Email;No;;;;;;
40;Jupiter;ABH;AB23028 ;;Maintenance;#20250000040;Has Announced;Closed;23/01/2025 0:00;23/01/2025 5:00;05:00:00;GMT+7;Haikal;Planned Maintenance for Replacing Core Switch at Cyber-1;Planned Maintenance for Replacing Core Switch at Cyber-1;"Route Loss to Telkomsel AS23693 Destination for a Maximum of 30 
Minutes.";Email;Email;No;;;;;;
41;WPT;ABH;"Platinum
Maxcloud
Citra Prima";202400078;Maintenance;#20250000041;Has Announced;Closed;23/01/2025 0:00;23/01/2025 5:00;05:00:00;GMT+7;Haikal;Planned Maintenance for Replacing Core Switch at Cyber-1;Planned Maintenance for Replacing Core Switch at Cyber-1;Route loss to Telkomsel AS23693 Destination for a Maximum of 30 Minutes.;Email;Email;No;;;;;;
42;LAXO;ABH;202300032;;Maintenance;#20250000042;Has Announced;Closed;23/01/2025 0:00;23/01/2025 5:00;05:00:00;GMT+7;Haikal;Planned Maintenance for Replacing Core Switch at Cyber-1;Planned Maintenance for Replacing Core Switch at Cyber-1;Route loss to Telkomsel AS23693 Destination for a Maximum of 30 Minutes.;Email;Email;No;;;;;;
43;IDCH;ABH;AB21009 ;;Maintenance;#20250000043;Has Announced;Closed;23/01/2025 0:00;23/01/2025 5:00;05:00:00;GMT+7;Haikal;Planned Maintenance for Replacing Core Switch at Cyber-1;Planned Maintenance for Replacing Core Switch at Cyber-1;Downtime for a Maximum of 30 Minutes for VLAN2509.;Email;Email;No;;;;;;
44;Shopee;ABH;202400081;;Maintenance;#20250000044;Has Announced;Closed;23/01/2025 0:00;23/01/2025 5:00;05:00:00;GMT+7;Haikal;Planned Maintenance for Replacing Core Switch at Cyber-1;Planned Maintenance for Replacing Core Switch at Cyber-1;Route loss to Telkomsel AS23693 Destination for a Maximum of 30 Minutes.;Email;Email;No;;;;;;
45;Seabank;ABH;"AB21005 
AB21015";;Maintenance;#20250000045;Has Announced;Closed;23/01/2025 0:00;23/01/2025 5:00;05:00:00;GMT+7;Haikal;Planned Maintenance for Replacing Core Switch at Cyber-1;Planned Maintenance for Replacing Core Switch at Cyber-1;Route loss to Telkomsel AS23693 destination for a maximum of 30 minutes.;Email;Email;No;;;;;;
46;Ling Cloud;ABH;202400094;;Maintenance;#20250000046;Has Announced;Closed;23/01/2025 0:00;23/01/2025 5:00;05:00:00;GMT+7;Haikal;Planned Maintenance for Replacing Core Switch at Cyber-1;Planned Maintenance for Replacing Core Switch at Cyber-1;L2 Service will be down for a maximum of 30 minutes due to to backbone relocation.;Email;Email;No;Power Degrade;;GMT+6;;;
47;GTT;ABH;AB22007 ;;Maintenance;#20250000047;Has Announced;Closed;23/01/2025 0:00;23/01/2025 5:00;05:00:00;GMT+7;Haikal;Planned Maintenance for Replacing Core Switch at Cyber-1;Planned Maintenance for Replacing Core Switch at Cyber-1;Route loss to Telkomsel AS23693 destination for a maximum of 30 minutes.;Email;Email;No;;;;;;
48;NTTG;ABH;202400152;;Maintenance;#20250000048;Has Announced;Closed;23/01/2025 0:00;23/01/2025 5:00;05:00:00;GMT+7;Haikal;Planned Maintenance for Replacing Core Switch at Cyber-1;Planned Maintenance for Replacing Core Switch at Cyber-1;Downtime for maximum 30 minutes due to backbone relocation.;Email;Email;No;Jitter;;PDT;;;
49;CBC;ABH;202400143;;Maintenance;#20250000049;Has Announced;Closed;23/01/2025 0:00;23/01/2025 5:00;05:00:00;GMT+7;Haikal;Planned Maintenance for Replacing Core Switch at Cyber-1;Planned Maintenance for Replacing Core Switch at Cyber-1;Downtime for maximum 30 minutes due to backbone relocation.;Email;Email;No;Packet Loss;;;;;
50;RACKH;ABH;;;Maintenance;#20250000050;;Closed;23/01/2025 0:00;23/01/2025 5:00;05:00:00;GMT+7;Haikal;Planned Maintenance for Replacing Core Switch at Cyber-1;Planned Maintenance for Replacing Core Switch at Cyber-1;Downtime for maximum 30 minutes due to backbone relocation.;Email;Email;No;;;;;;
51;ABH;HSP;Neu <> Cyber (I-0122-008-01);;Flapping;#20250000051;;Closed;10/01/2025 15:36;10/01/2025 15:38;00:02:00;GMT+7;Haikal;Closure rapuh;splicing core;3. #20250000051 | ABH (HSP) X9Y-G61-GLEE | Flapping | Neu <> Cyber (I-0122-008-01) | Dalam monitoring terlihat Neu <> Cyb HSP sempat flapping pada  Jan 10 15:36:56 - 15:38:19 | Update dari HSP bahwa kejadian in terjadi akibat core di closure rapuh (WAG) | FU RFO ke HSP | RFO Available | Confirm ke internal untuk close ticket ;Email;Email;yes;Routing Error;;;;;
52;CE;ABH-TELKOM;202400112;1-40295388573;Packet Loss;#20250000052;;Closed;25/1/2025;25/1/2025;00:00:00;GMT+7;Haikal;Refer to ticket #20250000062;Refer to ticket #20250000062;#20250000052 | CE (ABH-TELKOM) | Packet Loss | 2007736169 | CE report bahwa 2 hari ini mereka mengalami intermittent menuju IP gateway vpn (223.119.67.10), sehingga koneksi  terganggu | Update dari CE bahwa tunnel ke SG berbeda provider nya sehingga suspect terkendala oleh OIXP | FU Telkom untuk show route nya | Update dari CE masih intermittent | FU ke Telkom untuk plan optimizenya | Update dari Telkom bahwa traceroute memang tidak reach dan tidak bisa di ping, telkom sudah memberikan capture interface port dan log hasilnya tidak ditemukannya anomally | Sudah disampaikan ke DCC | Info dari CE packet loss pada 14 januari rentang 21.00 - 23.15 GMT+8 | Minta CE untuk traceroute from vpn gateway (source ip 223.119.67.10 ) to ip 36.94.17.50 | pengecekan lebih lanjut | Packet loss terjadi random, saat ini pengecekan Telkom normal pantau terlebih dahulu apabila ada kendala langsung fu telkom | minta Bestpath ke Telkom | Info dari Telkom saat ini sudah Best Path via AS Path 58453 | Monitor terlebih dahulu | CE report ada packet loss lagi di jam 20.30 - 23.30 GMT+8 | Sedang FU ke Telkom untuk pasang IP 223.119.67.10 di monitoring mereka agar kita punya edvidence ke user | FU ke Telkom no Ticketnya #20250000062 | ip sudah di pasang dan hasil evidence monitoring sudah di berikan ke DCC dan CE | Sudah di ajukan untuk improvement ke CE | FU konfirmasinya | FU hasil test ping monitoring refresh selama 12 jam ke Telkom untuk destinasi 223.119.67.10 | Tunggu update kembali konfirmasi dari CE | CE masih menunggu confirm dari End nya, namun sepertinya issue sudah resolved karena customer tidak ada mengeluhkan kendala lagi | CLOSED;Email;Email;No;;;;;;
